month,city,mau,opu,revenue_aed,conversion_pct,orders,arpu_aed,cac_aed,churn_pct,promo_roi
2026-01,Dubai,502742,59991,1157767.9529989474,20.01280286087671,152977,19.29902740409307,16.922034165105774,18.51352050849029,7.831960100791822
2026-01,Abu Dhabi,357950,41697,592627.610456637,20.196975791649226,106327,14.212715793861356,18.15000637094303,18.81452675346347,8.081810301742008
2026-01,Sharjah,292440,34698,372485.64014346764,20.045327356681018,88479,10.735075224608554,18.195302635588273,18.789016299583025,7.753784409113685
2026-02,Dubai,517341,61524,1169465.7680578155,20.600057440961326,159039,19.00828567807385,17.491539902280298,18.637108020821735,8.31136101609102
2026-02,Abu Dhabi,379909,46739,618675.7850852341,20.457547780541418,120820,13.236821178998996,17.41949077191781,18.340969999785468,8.373994855643874
2026-02,Sharjah,309954,36480,402314.9843852425,20.35948945762212,94300,11.0283712824902,17.942766754521116,18.683515917664757,8.3557885670763
2026-03,Dubai,541478,65308,1263097.0337108187,20.60178903815201,171106,19.34061728594994,17.892142950076686,18.28919102073043,8.809728390767974
2026-03,Abu Dhabi,395071,48016,635886.2013115971,20.612041491764195,125801,13.24321478906192,17.356147952639216,18.136518016055586,8.480280537939166
2026-03,Sharjah,316291,37586,435903.6796053124,20.82908943602219,98475,11.597501186753377,16.742708602772886,18.16632529340313,8.680688266276253
2026-04,Dubai,578893,71231,1351407.6536212082,20.868020784362713,189118,18.972184212227937,17.141941693300947,18.148754693876576,9.012173918779597
2026-04,Abu Dhabi,402980,48326,691785.5480151181,20.53600830147937,128305,14.31497636914121,17.414091581231755,18.11190677789491,8.953186838415867
2026-04,Sharjah,333200,40329,460315.0444438406,20.85260627091412,107073,11.413995994044996,17.052133326520007,17.880128153755685,8.964565526500419
2026-05,Dubai,585300,71368,1399303.940259556,21.0076550465414,191979,19.606881799399677,17.41633599650766,17.778236858726586,9.646346277243197
2026-05,Abu Dhabi,429923,52731,708603.7630027898,20.84380630383205,141846,13.438086950802939,16.54879938740961,17.38900608528203,9.23068829309963
2026-05,Sharjah,349438,42667,500124.31651767885,20.757013770035186,114774,11.721572093601116,17.03968121302236,17.842253425062758,9.246595579997532
2026-06,Dubai,621717,76700,1539336.2774166705,20.928996030116092,209007,20.06957336918736,16.272705809563444,17.49557320158009,9.95943390058307
2026-06,Abu Dhabi,444492,55176,765809.7743231966,20.839709586210077,150354,13.87939999860803,17.154704295109617,17.40480747201516,10.30044472283023
2026-06,Sharjah,360375,44806,509655.16638658155,20.91577045132806,122096,11.374707994165549,17.6616344088582,17.58372447410121,9.989217764787378
2026-07,Dubai,667527,82772,1604077.7808060257,21.06602265022189,228450,19.379473503189796,16.724585588579906,16.817129047537613,10.478787736703602
2026-07,Abu Dhabi,466411,57505,832582.0640785249,21.015254866989522,158713,14.478429077098077,17.277156955552474,17.559280796172192,11.048465616501833
2026-07,Sharjah,380043,46059,545874.4848060039,21.101883138394264,127122,11.851635615319566,16.534176507110356,17.02862140276047,10.166975800235049
2026-08,Dubai,675572,85593,1678867.4577737723,21.651876441541777,239232,19.614541583701616,16.283955811228385,16.471569752165042,10.618423022731667
2026-08,Abu Dhabi,487175,61699,896662.5565068042,21.77822738444438,172448,14.532853960466202,16.525316980657383,16.579312371388255,10.498720809441908
2026-08,Sharjah,387699,48401,572799.856181857,21.84312455183833,135280,11.834463258648725,16.343682769860838,17.044946062832334,10.836237741526466
