month,segment,users,orders_per_user,retention_30d_pct
2026-05,New,14906,1.5980433987454994,33.21425476548473
2026-05,Active,42749,3.7481318832411508,70.5292730834793
2026-05,Lapsed,11386,0.7036243462721645,13.894909507692521
2026-05,High Value,9057,6.177933271343561,88.34299136752306
2026-06,New,15783,1.6105303600654652,33.50688732299952
2026-06,Active,43858,3.848878233984624,73.8429071903952
2026-06,Lapsed,12087,0.6742861503338695,10.358208960905202
2026-06,High Value,9594,6.520601824065694,87.78457694406087
2026-07,New,14770,1.670149326027626,32.67154518154781
2026-07,Active,40496,3.873339254594551,71.52647385256849
2026-07,Lapsed,11997,0.6965676991309852,12.40508945855872
2026-07,High Value,9506,6.2168487926837255,88.77272655193222
2026-08,New,13769,1.5976615167073545,32.98812367564855
2026-08,Active,39952,3.6998906301701227,71.59905187115902
2026-08,Lapsed,12439,0.6721457529274691,12.0367577911133
2026-08,High Value,8825,6.139052804448675,89.20330939036552
